_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
62eb2f40c98df5e16d53e263||71.6|90.29|76|62.84|358,4,2,0|time|60|-1|1|60|0|12.66|false|false|english|none|normal|false|false|false||1659580224000
62eb2ed9c98df5e16d4ff622||40.2|100|40.2|32.01|252,0,0,0|zen|zen|-1|1|75.22|10|3.07|false|false|english|none|normal|false|false|false||1659580121000
62eb2e5ac98df5e16d4ff32c||82.77|99.06|84.77|79.35|207,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1659579994000
62ea812c9dfe09211a433f8e|true|86.77|97.36|89.17|77.71|217,0,1,0|time|30|-1|2|30.01|0|23.57|false|false|english|none|normal|false|false|false||1659535660000
62ea50b99dfe09211a0b4b62|true|84.93|97.22|91.27|82.65|67,1,0,0|custom|custom|-1|0|9.47|0|0|false|false|english|none|normal|false|false|false||1659523257000
62ea50719dfe09211a0b49d9||84|97.7|85.6|70.42|210,1,0,1|time|30|-1|4|30|0|14.38|false|false|english|none|normal|false|false|false||1659523185000
62ea500e9dfe09211a0b47d0||78.4|97.07|78.4|69.52|196,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659523086000
62ea4f859dfe09211a0b44dd||82.8|97.72|85.2|78.44|207,1,1,0|time|30|-1|2|30|0|2.48|false|false|english|none|normal|false|false|false||1659522949000
62ea4f279dfe09211a0b42e6||84.8|99.07|84.8|85.19|212,0,0,0|time|30|-1|1|30|0|0.26|false|false|english|none|normal|false|false|false||1659522855000
62ea4e2a9dfe09211a0b3d09||88|99.11|88|80.52|110,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1659522602000
62ea4dc39dfe09211a0751ce||80|95.28|80.8|68.38|100,1,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1659522499000
62ea4cac9dfe09211a074b4a||91.94|100|91.94|82.39|115,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1659522220000
62ea4c669dfe09211a0749b4||71.15|94.06|80.75|79.37|89,4,1,0|time|15|-1|2|15.01|0|0.87|false|false|english|none|normal|false|false|false||1659522150000
62ea4c509dfe09211a07491e||85.54|100|85.54|85.64|107,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1659522128000
62ea4c3d9dfe09211a074899||76|95.15|80.8|66.43|95,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1659522109000
62ea16169dfe09211acb7325||79.4|94.47|85|76.41|397,11,3,1|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1659508246000
62e92d743e8a5bf840a6c352|true|82.6|96.11|85.4|79.78|413,5,1,1|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1659448692000
62e8e9bc0bd1385d8b946bcc||78.2|95.84|79.4|78|391,4,0,0|time|60|-1|1|60|0|12.52|false|false|english|none|normal|false|false|false||1659431356000
62e8e9570bd1385d8b946a1d||76.8|97.52|79.2|79.37|192,0,0,1|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659431255000
62e8e9380bd1385d8b94699c||74|95.9|75.6|75.59|185,1,0,0|time|30|-1|9|30|0|68.71|false|false|english|none|normal|false|false|false||1659431224000
62e8de900bd1385d8b8c6493||71.2|93.43|76.4|77.66|178,2,2,0|time|30|-1|3|30|0|34.89|false|false|english|none|normal|false|false|false||1659428486000
62e8bad20bd1385d8b66960e|true|86|99.54|86|83.41|215,0,0,0|time|30|-1|12|30|0|31.59|false|false|english|none|normal|false|false|false||1659419346000
62e7de5f303adee462fa5da2||75.17|95.15|79.97|76.9|188,1,1,1|time|30|-1|3|30.01|0|11.62|false|false|english|none|normal|false|false|false||1659362911000
62e7dc71303adee462fa4e92||79.57|95.79|82.77|78.06|199,2,0,1|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1659362417000
62e79959303adee462aaca92||75.57|95.57|78.37|76.58|189,1,0,0|time|30|-1|8|30.01|0|27.37|false|false|english|none|normal|false|false|false||1659345241000
62e7671d303adee46273337c||69.2|89.15|82.4|68.59|173,10,2,1|time|30|-1|2|30|1|5.45|false|false|english|none|normal|false|false|false||1659332381000
62e766de303adee46273321b||83.2|96.8|85.6|77.87|208,1,1,0|time|30|-1|4|30|0|27.31|false|false|english|none|normal|false|false|false||1659332318000
62e76418303adee4626f3e4b||77.6|95.69|80.8|82.82|194,1,1,0|time|30|-1|1|30|0|4.53|false|false|english|none|normal|false|false|false||1659331608000
62e763f1303adee4626f3d70||80|97.62|82.8|85.25|200,1,0,0|time|30|-1|2|30|0|7.27|false|false|english|none|normal|false|false|false||1659331569000
62e7636b303adee4626f3ad8||81.97|97.62|81.97|81.93|205,0,0,0|time|30|-1|6|30.01|0|75.79|false|false|english|none|normal|false|false|false||1659331435000
62e39d4f303adee4622f69a2|true|85.17|100|85.17|89.49|213,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1659084111000
62e39d2f303adee4622f6903||76.4|97.49|78.8|77.14|191,1,1,0|time|30|-1|6|30|0|28.45|false|false|english|none|normal|false|false|false||1659084079000
62e38763303adee46217b677||82.4|95.93|87.2|84.14|206,3,1,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659078499000
62e36d12303adee462fc06d9||79.6|96.65|82|82.04|199,1,1,0|time|30|-1|4|30|0|48.81|false|false|english|none|normal|false|false|false||1659071762000
62e36054303adee462ec3c5e||68.8|92.02|71.2|73.96|172,4,1,0|time|30|-1|1|30|0|18.77|false|false|english|none|normal|false|false|false||1659068500000
62e342c9303adee462cc8fb1||79.57|95.39|85.57|83.77|199,4,0,1|time|30|-1|14|30.01|0|83.29|false|false|english|none|normal|false|false|false||1659060937000
62e33b2c303adee462c0c108||72|92.89|74.4|66.95|180,3,1,0|time|30|-1|1|30|0|0.38|false|false|english|none|normal|false|false|false||1659058988000
62e28d21303adee462fefb63||75.97|98.48|77.97|82.24|190,0,0,1|time|30|-1|3|30.01|0|5.53|false|false|english|none|normal|false|false|false||1659014433000
62e0fdca303adee4623cefd2||69.2|95.11|70|71.85|173,1,0,0|time|30|-1|4|30|0|52.34|false|false|english|none|normal|false|false|false||1658912202000
62e0fd73303adee4623cee25||69.2|90.82|74.4|70.76|173,5,1,1|time|30|-1|3|30|0|11.7|false|false|english|none|normal|false|false|false||1658912115000
62e0fd41303adee4623ced2a||86.4|99.08|86.4|84.54|108,0,0,0|time|15|-1|1|15|0|11.28|false|false|english|none|normal|false|false|false||1658912065000
62df8192303adee462934390||82.4|99.04|82.4|84.68|103,0,0,0|time|15|-1|4|15|0|19.19|false|false|english|none|normal|false|false|false||1658814866000
62df8159303adee462934276||84|96.36|85.6|85.34|105,1,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658814809000
62df8148303adee46293422d||81.6|97.27|88|82.99|102,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658814792000
62df8138303adee4629341d6||76|95.96|76|79.45|95,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658814776000
62df8126303adee46293417e||88.8|100|88.8|86.22|111,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658814758000
62df7e1a303adee4628f5568||86.4|98.23|90.4|89.31|108,1,0,0|time|15|-1|11|15|0|45.33|false|false|english|none|normal|false|false|false||1658813978000
62df7d68303adee4628f520c||85.6|98.2|88.8|88.12|107,0,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658813800000
62df7d57303adee4628f51b0||86.4|100|86.4|87.37|108,0,0,0|time|15|-1|1|15|0|10.06|false|false|english|none|normal|false|false|false||1658813783000
62df7d3a303adee4628f5120||79.2|97.06|79.2|77.73|99,0,0,0|time|15|-1|1|15|0|0.21|false|false|english|none|normal|false|false|false||1658813754000
62df7d1c303adee4628f509e||75.2|95.24|82.4|80.48|94,1,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658813724000
62df7d0b303adee4628f5047||78.4|91.89|87.2|86.22|98,5,1,1|time|15|-1|1|15|0|0.26|false|false|english|none|normal|false|false|false||1658813707000
62df7cf9303adee4628f4fe5||76.7|96.97|76.7|82.68|96,0,0,0|time|15|-1|3|15.02|0|30.29|false|false|english|none|normal|false|false|false||1658813689000
62df7c9a303adee4628f4e34||92.74|100|92.74|88.96|116,0,0,0|time|15|-1|2|15.01|0|5.79|false|false|english|none|normal|false|false|false||1658813594000
62df7579303adee4628771ca||79.95|98.13|85.54|85.64|100,1,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1658811769000
62df7563303adee46287715e||76|96.94|78.4|80.75|95,2,0,0|time|15|-1|4|15|0|10.69|false|false|english|none|normal|false|false|false||1658811747000
62debefd303adee462baeb11||50.91|89.33|53.93|57.72|844,6,3,1|quote|5442|3|0|198.93|0|0|false|false|english|none|normal|false|false|false||1658765053000
62debe29303adee462bae578||86.56|97.1|90.49|67.96|66,1,0,0|quote|3971|0|0|9.15|0|0|false|false|english|none|normal|false|false|false||1658764841000
62debe15303adee462bae50f|true|94.79|100|94.79|86.38|47,0,0,0|words|10|-1|0|5.95|0|0|false|false|english|none|normal|false|false|false||1658764821000
62debe0d303adee462bae4db|true|77.46|93.22|77.46|68.57|55,0,0,0|words|10|-1|3|8.52|0|10.6|false|false|english|none|normal|false|false|false||1658764813000
62debde0303adee462b7074f||84.8|97.25|84.8|82.26|106,0,0,0|time|15|-1|1|15|0|2.39|false|false|english|none|normal|false|false|false||1658764768000
62debdca303adee462b706ac||76.8|92.31|76.8|77.99|96,0,0,0|time|15|-1|1|15|0|11.91|false|false|english|none|normal|false|false|false||1658764746000
62de6cea303adee4625c3acf|true|81.97|95.62|83.57|79.44|410,3,0,0|time|60|-1|8|60.02|0|100.17|false|false|english|none|normal|false|false|false||1658744042000
62de5ba8303adee4624c7027|true|78.4|96.81|79.8|77.57|392,2,1,0|time|60|-1|11|60|0|84.24|false|false|english|none|normal|false|false|false||1658739624000
62de5aef303adee4624890c2|true|73.6|95.69|75.6|76.68|368,2,0,2|time|60|-1|7|60|0|45.13|false|false|english|none|normal|false|false|false||1658739439000
62de391c303adee462252733|true|72.6|93.65|75.2|72.57|363,4,2,0|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1658730780000
62de38db303adee4622525ed||78.4|91.82|85.2|76.03|196,4,5,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1658730715000
62de38ac303adee4622524f6||78.8|95.35|82.8|77.77|197,2,0,1|time|30|-1|3|30|0|9.6|false|false|english|none|normal|false|false|false||1658730668000
62de387e303adee4622523fc||80|94.01|83.6|72.2|200,4,0,1|time|30|-1|6|30|0|30.34|false|false|english|none|normal|false|false|false||1658730622000
